word,translation
demo_rusin_kerch_001,demo_russian_kerch_001
demo_rusin_kerch_002,demo_russian_kerch_002
demo_rusin_kerch_003,demo_russian_kerch_003
demo_rusin_kerch_004,demo_russian_kerch_004
demo_rusin_kerch_005,demo_russian_kerch_005
demo_rusin_kerch_006,demo_russian_kerch_006
demo_rusin_kerch_007,demo_russian_kerch_007
demo_rusin_kerch_008,demo_russian_kerch_008
demo_rusin_kerch_009,demo_russian_kerch_009
demo_rusin_kerch_010,demo_russian_kerch_010
demo_rusin_kerch_011,demo_russian_kerch_011
demo_rusin_kerch_012,demo_russian_kerch_012
demo_rusin_kerch_013,demo_russian_kerch_013
demo_rusin_kerch_014,demo_russian_kerch_014
demo_rusin_kerch_015,demo_russian_kerch_015
demo_rusin_kerch_016,demo_russian_kerch_016
demo_rusin_kerch_017,demo_russian_kerch_017
demo_rusin_kerch_018,demo_russian_kerch_018
demo_rusin_kerch_019,demo_russian_kerch_019
demo_rusin_kerch_020,demo_russian_kerch_020
demo_rusin_kerch_021,demo_russian_kerch_021
demo_rusin_kerch_022,demo_russian_kerch_022
demo_rusin_kerch_023,demo_russian_kerch_023
demo_rusin_kerch_024,demo_russian_kerch_024
demo_rusin_kerch_025,demo_russian_kerch_025
demo_rusin_kerch_026,demo_russian_kerch_026
demo_rusin_kerch_027,demo_russian_kerch_027
demo_rusin_kerch_028,demo_russian_kerch_028
demo_rusin_kerch_029,demo_russian_kerch_029
demo_rusin_kerch_030,demo_russian_kerch_030
demo_rusin_kerch_031,demo_russian_kerch_031
demo_rusin_kerch_032,demo_russian_kerch_032
demo_rusin_kerch_033,demo_russian_kerch_033
demo_rusin_kerch_034,demo_russian_kerch_034
demo_rusin_kerch_035,demo_russian_kerch_035
demo_rusin_kerch_036,demo_russian_kerch_036
demo_rusin_kerch_037,demo_russian_kerch_037
demo_rusin_kerch_038,demo_russian_kerch_038
demo_rusin_kerch_039,demo_russian_kerch_039
demo_rusin_kerch_040,demo_russian_kerch_040
demo_rusin_kerch_041,demo_russian_kerch_041
demo_rusin_kerch_042,demo_russian_kerch_042
demo_rusin_kerch_043,demo_russian_kerch_043
demo_rusin_kerch_044,demo_russian_kerch_044
demo_rusin_kerch_045,demo_russian_kerch_045
demo_rusin_kerch_046,demo_russian_kerch_046
demo_rusin_kerch_047,demo_russian_kerch_047
demo_rusin_kerch_048,demo_russian_kerch_048
demo_rusin_kerch_049,demo_russian_kerch_049
demo_rusin_kerch_050,demo_russian_kerch_050
demo_rusin_kerch_051,demo_russian_kerch_051
demo_rusin_kerch_052,demo_russian_kerch_052
demo_rusin_kerch_053,demo_russian_kerch_053
demo_rusin_kerch_054,demo_russian_kerch_054
demo_rusin_kerch_055,demo_russian_kerch_055
demo_rusin_kerch_056,demo_russian_kerch_056
demo_rusin_kerch_057,demo_russian_kerch_057
demo_rusin_kerch_058,demo_russian_kerch_058
demo_rusin_kerch_059,demo_russian_kerch_059
demo_rusin_kerch_060,demo_russian_kerch_060
demo_rusin_kerch_061,demo_russian_kerch_061
demo_rusin_kerch_062,demo_russian_kerch_062
demo_rusin_kerch_063,demo_russian_kerch_063
demo_rusin_kerch_064,demo_russian_kerch_064
demo_rusin_kerch_065,demo_russian_kerch_065
demo_rusin_kerch_066,demo_russian_kerch_066
demo_rusin_kerch_067,demo_russian_kerch_067
demo_rusin_kerch_068,demo_russian_kerch_068
demo_rusin_kerch_069,demo_russian_kerch_069
demo_rusin_kerch_070,demo_russian_kerch_070
demo_rusin_kerch_071,demo_russian_kerch_071
demo_rusin_kerch_072,demo_russian_kerch_072
demo_rusin_kerch_073,demo_russian_kerch_073
demo_rusin_kerch_074,demo_russian_kerch_074
demo_rusin_kerch_075,demo_russian_kerch_075
demo_rusin_kerch_076,demo_russian_kerch_076
demo_rusin_kerch_077,demo_russian_kerch_077
demo_rusin_kerch_078,demo_russian_kerch_078
demo_rusin_kerch_079,demo_russian_kerch_079
demo_rusin_kerch_080,demo_russian_kerch_080
demo_rusin_kerch_081,demo_russian_kerch_081
demo_rusin_kerch_082,demo_russian_kerch_082
demo_rusin_kerch_083,demo_russian_kerch_083
demo_rusin_kerch_084,demo_russian_kerch_084
demo_rusin_kerch_085,demo_russian_kerch_085
demo_rusin_kerch_086,demo_russian_kerch_086
demo_rusin_kerch_087,demo_russian_kerch_087
demo_rusin_kerch_088,demo_russian_kerch_088
demo_rusin_kerch_089,demo_russian_kerch_089
demo_rusin_kerch_090,demo_russian_kerch_090
demo_rusin_kerch_091,demo_russian_kerch_091
demo_rusin_kerch_092,demo_russian_kerch_092
demo_rusin_kerch_093,demo_russian_kerch_093
demo_rusin_kerch_094,demo_russian_kerch_094
demo_rusin_kerch_095,demo_russian_kerch_095
demo_rusin_kerch_096,demo_russian_kerch_096
demo_rusin_kerch_097,demo_russian_kerch_097
demo_rusin_kerch_098,demo_russian_kerch_098
demo_rusin_kerch_099,demo_russian_kerch_099
demo_rusin_kerch_100,demo_russian_kerch_100
demo_rusin_kerch_101,demo_russian_kerch_101
demo_rusin_kerch_102,demo_russian_kerch_102
demo_rusin_kerch_103,demo_russian_kerch_103
demo_rusin_kerch_104,demo_russian_kerch_104
demo_rusin_kerch_105,demo_russian_kerch_105
demo_rusin_kerch_106,demo_russian_kerch_106
demo_rusin_kerch_107,demo_russian_kerch_107
demo_rusin_kerch_108,demo_russian_kerch_108
demo_rusin_kerch_109,demo_russian_kerch_109
demo_rusin_kerch_110,demo_russian_kerch_110
demo_rusin_kerch_111,demo_russian_kerch_111
demo_rusin_kerch_112,demo_russian_kerch_112
demo_rusin_kerch_113,demo_russian_kerch_113
demo_rusin_kerch_114,demo_russian_kerch_114
demo_rusin_kerch_115,demo_russian_kerch_115
demo_rusin_kerch_116,demo_russian_kerch_116
demo_rusin_kerch_117,demo_russian_kerch_117
demo_rusin_kerch_118,demo_russian_kerch_118
demo_rusin_kerch_119,demo_russian_kerch_119
demo_rusin_kerch_120,demo_russian_kerch_120
demo_rusin_kerch_121,demo_russian_kerch_121
demo_rusin_kerch_122,demo_russian_kerch_122
demo_rusin_kerch_123,demo_russian_kerch_123
demo_rusin_kerch_124,demo_russian_kerch_124
demo_rusin_kerch_125,demo_russian_kerch_125
demo_rusin_kerch_126,demo_russian_kerch_126
demo_rusin_kerch_127,demo_russian_kerch_127
demo_rusin_kerch_128,demo_russian_kerch_128
demo_rusin_kerch_129,demo_russian_kerch_129
demo_rusin_kerch_130,demo_russian_kerch_130
demo_rusin_kerch_131,demo_russian_kerch_131
demo_rusin_kerch_132,demo_russian_kerch_132
demo_rusin_kerch_133,demo_russian_kerch_133
demo_rusin_kerch_134,demo_russian_kerch_134
demo_rusin_kerch_135,demo_russian_kerch_135
demo_rusin_kerch_136,demo_russian_kerch_136
demo_rusin_kerch_137,demo_russian_kerch_137
demo_rusin_kerch_138,demo_russian_kerch_138
demo_rusin_kerch_139,demo_russian_kerch_139
demo_rusin_kerch_140,demo_russian_kerch_140
demo_rusin_kerch_141,demo_russian_kerch_141
demo_rusin_kerch_142,demo_russian_kerch_142
demo_rusin_kerch_143,demo_russian_kerch_143
demo_rusin_kerch_144,demo_russian_kerch_144
demo_rusin_kerch_145,demo_russian_kerch_145
demo_rusin_kerch_146,demo_russian_kerch_146
demo_rusin_kerch_147,demo_russian_kerch_147
demo_rusin_kerch_148,demo_russian_kerch_148
demo_rusin_kerch_149,demo_russian_kerch_149
demo_rusin_kerch_150,demo_russian_kerch_150
demo_rusin_kerch_151,demo_russian_kerch_151
demo_rusin_kerch_152,demo_russian_kerch_152
demo_rusin_kerch_153,demo_russian_kerch_153
demo_rusin_kerch_154,demo_russian_kerch_154
demo_rusin_kerch_155,demo_russian_kerch_155
demo_rusin_kerch_156,demo_russian_kerch_156
demo_rusin_kerch_157,demo_russian_kerch_157
demo_rusin_kerch_158,demo_russian_kerch_158
demo_rusin_kerch_159,demo_russian_kerch_159
demo_rusin_kerch_160,demo_russian_kerch_160
demo_rusin_kerch_161,demo_russian_kerch_161
demo_rusin_kerch_162,demo_russian_kerch_162
demo_rusin_kerch_163,demo_russian_kerch_163
demo_rusin_kerch_164,demo_russian_kerch_164
demo_rusin_kerch_165,demo_russian_kerch_165
demo_rusin_kerch_166,demo_russian_kerch_166
demo_rusin_kerch_167,demo_russian_kerch_167
demo_rusin_kerch_168,demo_russian_kerch_168
demo_rusin_kerch_169,demo_russian_kerch_169
demo_rusin_kerch_170,demo_russian_kerch_170
demo_rusin_kerch_171,demo_russian_kerch_171
demo_rusin_kerch_172,demo_russian_kerch_172
demo_rusin_kerch_173,demo_russian_kerch_173
demo_rusin_kerch_174,demo_russian_kerch_174
demo_rusin_kerch_175,demo_russian_kerch_175
demo_rusin_kerch_176,demo_russian_kerch_176
demo_rusin_kerch_177,demo_russian_kerch_177
demo_rusin_kerch_178,demo_russian_kerch_178
demo_rusin_kerch_179,demo_russian_kerch_179
demo_rusin_kerch_180,demo_russian_kerch_180
demo_rusin_kerch_181,demo_russian_kerch_181
demo_rusin_kerch_182,demo_russian_kerch_182
demo_rusin_kerch_183,demo_russian_kerch_183
demo_rusin_kerch_184,demo_russian_kerch_184
demo_rusin_kerch_185,demo_russian_kerch_185
demo_rusin_kerch_186,demo_russian_kerch_186
demo_rusin_kerch_187,demo_russian_kerch_187
demo_rusin_kerch_188,demo_russian_kerch_188
demo_rusin_kerch_189,demo_russian_kerch_189
demo_rusin_kerch_190,demo_russian_kerch_190
demo_rusin_kerch_191,demo_russian_kerch_191
demo_rusin_kerch_192,demo_russian_kerch_192
demo_rusin_kerch_193,demo_russian_kerch_193
demo_rusin_kerch_194,demo_russian_kerch_194
demo_rusin_kerch_195,demo_russian_kerch_195
demo_rusin_kerch_196,demo_russian_kerch_196
demo_rusin_kerch_197,demo_russian_kerch_197
demo_rusin_kerch_198,demo_russian_kerch_198
demo_rusin_kerch_199,demo_russian_kerch_199
demo_rusin_kerch_200,demo_russian_kerch_200
